NUMPOSTS 100
0.95013 0.58279 1.2199
0.23114 0.4235 1.17
0.60684 0.51551 1.1571
0.48598 0.33395 1.1825
0.8913 0.43291 1.1966
0.7621 0.22595 1.2958
0.45647 0.57981 1.0599
0.018504 0.76037 1.0191
0.82141 0.52982 1.2293
0.4447 0.64053 1.4349
0.61543 0.20907 1.4671
0.79194 0.37982 1.1322
0.92181 0.78333 1.0802
0.73821 0.68085 1.4364
0.17627 0.4611 1.1189
0.40571 0.56783 1.3229
0.93547 0.79421 1.4834
0.9169 0.059183 1.3325
0.41027 0.60287 1.4352
0.89365 0.050269 1.005
0.057891 0.41537 1.0685
0.35287 0.305 1.4094
0.81317 0.87437 1.2151
0.0098613 0.015009 1.4452
0.13889 0.76795 1.3675
0.20277 0.97084 1.3437
0.19872 0.99008 1.1731
0.60379 0.78886 1.083
0.27219 0.43866 1.0778
0.19881 0.49831 1.0956
0.015274 0.21396 1.2112
0.74679 0.64349 1.428
0.4451 0.32004 1.2451
0.93181 0.9601 1.408
0.46599 0.72663 1.2304
0.41865 0.41195 1.2287
0.84622 0.74457 1.2253
0.52515 0.26795 1.2061
0.20265 0.43992 1.4508
0.67214 0.93338 1.0028
0.83812 0.68333 1.1487
0.01964 0.21256 1.0246
0.68128 0.83924 1.3466
0.37948 0.62878 1.3251
0.8318 0.13377 1.4915
0.50281 0.20713 1.2763
0.70947 0.6072 1.2
0.42889 0.62989 1.0994
0.30462 0.37048 1.3126
0.18965 0.57515 1.3667
0.19343 0.45142 1.1879
0.68222 0.043895 1.0049
0.30276 0.027185 1.2099
0.54167 0.31269 1.3768
0.15087 0.012863 1.3969
0.6979 0.38397 1.46
0.37837 0.68312 1.4224
0.86001 0.092842 1.1839
0.85366 0.035338 1.3104
0.59356 0.6124 1.3656
0.49655 0.60854 1.0969
0.89977 0.01576 1.4524
0.82163 0.016355 1.2846
0.64491 0.19007 1.3159
0.81797 0.58692 1.1172
0.66023 0.057581 1.2744
0.34197 0.36757 1.4658
0.28973 0.63145 1.1676
0.34119 0.71763 1.3278
0.53408 0.69267 1.196
0.72711 0.084079 1.3137
0.30929 0.45436 1.3495
0.8385 0.44183 1.1986
0.56807 0.35325 1.2068
0.37041 0.15361 1.3276
0.70274 0.67564 1.4188
0.54657 0.69921 1.1858
0.44488 0.72751 1.2126
0.69457 0.47838 1.2973
0.62131 0.55484 1.2829
0.79482 0.12105 1.3583
0.95684 0.45075 1.2557
0.52259 0.71588 1.3882
0.88014 0.89284 1.2447
0.17296 0.2731 1.093
0.97975 0.25477 1.3503
0.27145 0.8656 1.4914
0.25233 0.23235 1.4033
0.87574 0.80487 1.3518
0.73731 0.9084 1.2425
0.13652 0.23189 1.0573
0.011757 0.23931 1.3324
0.8939 0.049754 1.1827
0.19914 0.078384 1.07
0.29872 0.64082 1.2834
0.66144 0.19089 1.4115
0.28441 0.84387 1.337
0.46922 0.1739 1.4997
0.064781 0.17079 1.4808
0.98833 0.9943 1.0294
