NUMTRACKS 10000
1.0311 1.239 -8.2476
1.0695 1.2732 -3.1267
1.108 1.3074 1.9942
1.1453 1.3305 8.2619
1.1823 1.3512 14.786
1.2185 1.3691 21.432
1.25 1.3708 28.804
1.2814 1.3725 36.177
1.3085 1.364 43.57
1.3307 1.3441 50.986
1.3513 1.3214 58.287
1.3617 1.2823 64.871
1.3721 1.2431 71.454
1.3713 1.1916 76.774
1.3679 1.1371 81.796
1.3579 1.0779 85.85
1.3408 1.0135 88.85
1.322 0.94865 91.547
1.2938 0.88162 92.513
1.264 0.81534 93.121
1.2276 0.7521 92.293
1.1898 0.69079 91.073
1.1479 0.63528 88.671
1.105 0.58282 85.904
1.0603 0.5375 82.28
1.0155 0.49601 78.367
0.9706 0.46166 73.914
0.92663 0.43183 69.228
0.88385 0.40804 64.228
0.84296 0.3892 59.076
0.80393 0.37517 53.777
0.76776 0.36603 48.424
0.73363 0.36034 43.033
0.70321 0.35921 37.678
0.67466 0.36037 32.342
0.65042 0.36588 27.117
0.62772 0.37293 21.932
0.60981 0.38403 16.935
0.59302 0.39608 11.982
0.58136 0.41194 7.2902
0.57039 0.4283 2.6328
0.5657 0.44914 -1.6149
0.5613 0.47018 -5.8438
0.55886 0.49258 -9.9175
0.56192 0.51876 -13.554
0.56498 0.54495 -17.19
0.57216 0.57398 -20.421
0.58247 0.60517 -23.343
0.59278 0.63637 -26.265
0.60899 0.6721 -28.429
0.62605 0.70849 -30.483
0.64418 0.74576 -32.361
0.66722 0.78709 -33.434
0.69025 0.82842 -34.506
0.7178 0.87296 -34.701
0.74653 0.91834 -34.665
0.77744 0.96484 -34.102
0.81153 1.013 -32.768
0.8457 1.0612 -31.404
0.88434 1.1098 -28.595
0.92297 1.1585 -25.786
0.96362 1.2055 -22.004
1.0054 1.2516 -17.66
1.0479 1.2945 -12.642
1.0911 1.3336 -6.7897
1.1341 1.3696 -0.58142
1.1763 1.3967 6.6395
1.2182 1.4226 13.934
1.2564 1.4328 22.152
1.2946 1.4431 30.37
1.3263 1.4347 38.962
1.3571 1.4238 47.603
1.3801 1.3973 55.933
1.3997 1.3641 64.13
1.412 1.3204 71.667
1.4175 1.2668 78.577
1.4181 1.2081 84.855
1.4086 1.1388 89.822
1.3972 1.0684 94.484
1.374 0.99134 97.246
1.3479 0.91433 99.434
1.3137 0.83743 100.07
1.276 0.76279 99.916
1.2331 0.69153 98.573
1.1872 0.62544 96.346
1.1386 0.56385 93.346
1.0883 0.51024 89.529
1.0372 0.46062 85.301
0.98636 0.42084 80.388
0.93558 0.38373 75.29
0.88724 0.35754 69.701
0.83927 0.33276 64.055
0.79559 0.31819 58.168
0.75271 0.30487 52.276
0.71442 0.2987 46.352
0.67823 0.29505 40.454
0.64571 0.2958 34.601
0.61668 0.29989 28.842
0.59016 0.30638 23.152
0.56844 0.31663 17.643
0.54803 0.32791 12.184
0.53404 0.3436 7.0314
0.52004 0.3593 1.8785
0.51148 0.37845 -2.959
0.50439 0.39855 -7.7107
0.50096 0.42094 -12.205
0.50044 0.44515 -16.495
0.50193 0.47074 -20.61
0.50755 0.49913 -24.37
0.51378 0.528 -28.064
0.52542 0.5611 -31.179
0.53706 0.59421 -34.294
0.55292 0.63075 -36.885
0.57091 0.66905 -39.208
0.59033 0.70854 -41.319
0.6147 0.75215 -42.691
0.63907 0.79576 -44.063
0.6683 0.84341 -44.53
0.69885 0.89216 -44.75
0.73145 0.94241 -44.494
0.76788 0.99547 -43.34
0.80431 1.0485 -42.187
0.84585 1.1035 -39.526
0.88789 1.1587 -36.717
0.93207 1.213 -33.019
0.97861 1.2664 -28.34
1.0252 1.3196 -23.583
1.0741 1.3654 -16.965
1.1229 1.4113 -10.347
1.1713 1.4495 -2.7396
1.2196 1.4827 5.5171
1.2654 1.5041 14.544
1.3101 1.5202 23.92
1.3496 1.5197 33.764
1.3875 1.5144 43.748
1.4168 1.4887 53.654
1.4447 1.4595 63.547
1.4603 1.4078 72.573
1.4749 1.3542 81.504
1.4745 1.2817 88.734
1.4724 1.2078 95.714
1.4558 1.1225 100.62
1.4364 1.0362 105.02
1.4051 0.94543 107.32
1.3703 0.85541 108.93
1.3268 0.76728 108.72
1.2795 0.68315 107.59
1.2273 0.60425 105.23
1.1721 0.53313 101.84
1.1148 0.46739 97.731
1.0564 0.41277 92.72
0.99751 0.36187 87.404
0.93994 0.32353 81.467
0.88326 0.28906 75.381
0.82929 0.26399 68.988
0.77789 0.24439 62.51
0.72882 0.22975 55.955
0.68462 0.22224 49.408
0.64232 0.21713 42.881
0.60553 0.21792 36.458
0.57127 0.22088 30.112
0.54112 0.22737 23.888
0.515 0.23669 17.82
0.49135 0.24775 11.847
0.47304 0.26201 6.1216
0.45629 0.27719 0.47369
0.44577 0.29594 -4.8263
0.43524 0.31469 -10.126
0.4293 0.33597 -15.13
0.4264 0.35895 -19.938
0.42427 0.38237 -24.686
0.42857 0.40957 -28.942
0.43288 0.43677 -33.198
0.44122 0.46695 -37.063
0.45211 0.49902 -40.681
0.46367 0.5317 -44.218
0.48025 0.56897 -47.155
0.49706 0.60646 -50.06
0.51908 0.64882 -52.271
0.54109 0.69118 -54.483
0.56853 0.73879 -55.859
0.59612 0.78655 -57.211
0.62879 0.83921 -57.638
0.66203 0.89242 -57.96
0.7004 0.95015 -57.158
0.73985 1.0088 -56.118
0.78144 1.0688 -54.497
0.82772 1.1317 -51.596
0.874 1.1946 -48.696
0.92498 1.2574 -44.042
0.97715 1.3202 -38.949
1.0303 1.3809 -33.173
1.086 1.4365 -25.707
1.1417 1.4921 -18.241
1.1976 1.5372 -9.2088
1.2535 1.5793 0.27588
1.3064 1.6035 11.121
1.3582 1.6232 22.155
1.4045 1.6233 33.923
1.4471 1.6132 45.744
1.4833 1.586 57.656
1.5117 1.5425 69.123
1.5342 1.4866 80.254
1.5439 1.4118 90.027
1.5496 1.3312 99.39
1.5377 1.2333 106.3
1.5222 1.1332 112.64
1.492 1.025 116.5
1.4563 0.91679 119.29
1.4111 0.80849 120.2
1.3582 0.70573 119.38
1.3016 0.60572 117.7
1.2373 0.51901 113.9
1.1718 0.43726 109.61
1.1035 0.36745 104.16
1.035 0.30716 98.146
0.96638 0.25372 91.724
0.90015 0.21494 84.716
0.83573 0.18158 77.588
0.77388 0.15591 70.291
0.71676 0.13914 62.946
0.6622 0.1263 55.611
0.61262 0.11992 48.346
0.56744 0.11793 41.192
0.52503 0.11862 34.111
0.48909 0.12429 27.249
0.45618 0.13179 20.507
0.42687 0.14148 13.907
0.40343 0.1541 7.5718
0.38093 0.1672 1.2788
0.36489 0.18312 -4.6883
0.34936 0.19927 -10.629
0.34002 0.21795 -16.216
0.3312 0.23688 -21.77
0.32751 0.25813 -26.986
0.32471 0.27988 -32.133
0.3263 0.3041 -36.941
0.32833 0.32861 -41.711
0.33521 0.35629 -46.066
0.34209 0.38396 -50.421
0.35417 0.41565 -54.276
0.36625 0.44734 -58.13
0.38298 0.48344 -61.463
0.40014 0.51995 -64.747
0.42146 0.56105 -67.491
0.44365 0.60309 -70.126
0.4703 0.65023 -72.128
0.49778 0.69832 -74.012
0.53011 0.75202 -75.121
0.56325 0.80667 -76.098
0.60159 0.86716 -76.116
0.64072 0.92854 -75.987
0.68627 0.99636 -74.431
0.73269 1.0651 -72.681
0.78004 1.1344 -70.672
0.83541 1.2092 -66.407
0.89079 1.284 -62.142
0.94864 1.3584 -56.877
1.0116 1.432 -49.547
1.0745 1.5057 -42.216
1.1393 1.5712 -33.083
1.2055 1.6301 -22.472
1.2717 1.689 -11.861
1.3362 1.7289 0.67616
1.3999 1.762 13.833
1.4573 1.7682 28.194
1.5112 1.7638 42.675
1.5574 1.7362 57.419
1.5945 1.6877 71.745
1.6252 1.6244 85.771
1.6393 1.5322 98.112
1.6478 1.4321 109.79
1.6373 1.3107 118.8
1.618 1.1845 126.37
1.5853 1.0507 131.72
1.5397 0.91605 134.53
1.4875 0.78102 136.06
1.4212 0.65515 134.41
1.3514 0.53445 131.86
1.2741 0.42726 127.29
1.1939 0.33248 121.59
1.1117 0.24716 115.02
1.0291 0.18138 107.41
0.94702 0.12182 99.571
0.86737 0.076775 91.347
0.79152 0.042916 82.971
0.71898 0.016475 74.559
0.65035 -0.00246 66.16
0.58832 -0.012567 57.911
0.53054 -0.018452 49.794
0.47693 -0.020483 41.816
0.42985 -0.017729 34.084
0.38747 -0.012376 26.549
0.34899 -0.005095 19.182
0.31547 0.0042426 12.037
0.28735 0.015291 5.1504
0.26101 0.026862 -1.6481
0.24059 0.03987 -8.1423
0.22226 0.05329 -14.52
0.2076 0.067433 -20.693
0.19612 0.082223 -26.669
0.18646 0.097386 -32.531
0.18064 0.11356 -38.125
0.17617 0.13016 -43.619
0.17451 0.14768 -48.899
0.17495 0.1661 -54.008
0.17677 0.18512 -59.003
0.18164 0.20597 -63.723
0.18758 0.22763 -68.337
0.19565 0.25099 -72.741
0.20569 0.27617 -76.943
0.21689 0.30244 -81.027
0.23118 0.33204 -84.782
0.24658 0.36299 -88.414
0.26438 0.39688 -91.775
0.28471 0.43417 -94.835
0.30661 0.47357 -97.709
0.33129 0.51687 -100.24
0.3583 0.56346 -102.47
0.38803 0.61397 -104.34
0.42086 0.66891 -105.78
0.45629 0.72754 -106.83
0.49574 0.79183 -107.26
0.5376 0.85933 -107.27
0.5846 0.93368 -106.37
0.63313 1.0099 -105.17
0.68872 1.0946 -102.51
0.74463 1.1796 -99.759
0.80917 1.2727 -94.816
0.87372 1.3659 -89.873
0.94588 1.462 -82.386
1.0189 1.5585 -74.602
1.097 1.6518 -64.317
1.1767 1.744 -53.218
1.2583 1.8241 -39.887
1.341 1.8967 -25.149
1.422 1.9517 -8.8941
1.5013 1.9871 9.0541
1.5762 2.0049 27.572
1.6424 1.9872 47.238
1.7045 1.9581 66.812
1.7496 1.8807 86
1.7833 1.7824 104.03
1.8019 1.6562 120.5
1.8 1.5063 134.01
1.7877 1.3443 146.04
1.7481 1.1636 153.22
1.7021 0.98058 159.17
1.6352 0.7961 160.85
1.5553 0.62186 159.62
1.4664 0.45855 156.26
1.3689 0.31072 150.66
1.2646 0.18719 142.97
1.1584 0.079044 134.39
1.0515 -0.010786 124.98
0.9457 -0.082707 115.02
0.84397 -0.13545 104.79
0.74672 -0.17577 94.583
0.6544 -0.20559 84.489
0.56826 -0.22549 74.617
0.48845 -0.23761 65.018
0.41529 -0.24345 55.733
0.34951 -0.24419 46.818
0.29118 -0.24134 38.285
0.23625 -0.23723 29.928
0.18875 -0.23094 21.959
0.14611 -0.22405 14.252
0.10694 -0.21673 6.7311
0.07462 -0.20956 -0.40161
0.044371 -0.20263 -7.4094
0.017973 -0.19624 -14.181
-0.0047306 -0.19072 -20.709
-0.024696 -0.18612 -27.038
-0.042477 -0.1824 -33.194
-0.05834 -0.17958 -39.183
-0.072536 -0.17769 -45.012
-0.08492 -0.17706 -50.639
-0.096168 -0.17743 -56.113
-0.10651 -0.17877 -61.443
-0.11611 -0.18105 -66.637
-0.12508 -0.18441 -71.676
-0.13362 -0.18883 -76.574
-0.14187 -0.19432 -81.332
-0.14999 -0.201 -85.943
-0.15815 -0.20894 -90.404
-0.16646 -0.21793 -94.752
-0.17498 -0.22802 -98.984
-0.18386 -0.23954 -103.07
-0.19332 -0.25271 -107.02
-0.20337 -0.26733 -110.83
-0.21394 -0.28314 -114.55
-0.22572 -0.30154 -118.08
-0.23815 -0.32128 -121.51
-0.2517 -0.34326 -124.79
-0.26672 -0.36803 -127.9
-0.28268 -0.39453 -130.9
-0.30092 -0.42511 -133.65
-0.32011 -0.45739 -136.3
-0.34181 -0.49415 -138.69
-0.36517 -0.53386 -140.9
-0.39102 -0.57797 -142.86
-0.41952 -0.62661 -144.52
-0.45041 -0.67933 -145.93
-0.48555 -0.73902 -146.83
-0.52297 -0.80244 -147.46
-0.56451 -0.87255 -147.55
-0.61029 -0.94954 -147.07
-0.65936 -1.0315 -146.08
-0.71497 -1.1235 -144.04
-0.77257 -1.218 -141.62
-0.83944 -1.3248 -137.4
-0.90652 -1.4319 -133.13
-0.98466 -1.5506 -126.2
-1.0646 -1.6703 -118.71
-1.1533 -1.7954 -108.47
-1.2449 -1.9195 -96.984
-1.3428 -2.0415 -82.775
-1.4432 -2.1553 -66.555
-1.5465 -2.2594 -47.991
-1.6499 -2.3445 -27.115
-1.752 -2.4082 -4.1791
-1.8496 -2.4391 20.803
-1.9372 -2.4253 47.037
-2.0143 -2.3753 73.478
-2.0796 -2.2877 99.745
-2.1205 -2.1399 123.99
-2.1406 -1.9567 145.43
-2.1406 -1.7454 163.86
-2.1153 -1.5075 178.09
-2.0602 -1.2538 186.53
-1.987 -0.99995 191.13
-1.8944 -0.75264 191.48
-1.7841 -0.52236 187.75
-1.6587 -0.32244 180.21
-1.5261 -0.14921 170.59
-1.389 -0.0019328 159.49
-1.2505 0.11556 147.33
-1.1136 0.20718 134.7
-0.98105 0.27585 122
-0.85486 0.32457 109.56
-0.7372 0.35642 97.627
-0.62766 0.37697 86.23
-0.5265 0.38865 75.398
-0.43377 0.39367 65.14
-0.34966 0.39384 55.461
-0.27457 0.39058 46.377
-0.20679 0.38609 37.77
-0.14379 0.38085 29.474
-0.09067 0.37598 21.822
-0.041316 0.37197 14.428
0.003313 0.36907 7.3549
0.042467 0.36848 0.69383
0.07852 0.36966 -5.7113
0.11175 0.37269 -11.872
0.14142 0.37896 -17.664
0.16936 0.38756 -23.218
0.19593 0.39835 -28.555
0.22122 0.41198 -33.617
0.24568 0.42887 -38.374
0.26985 0.44817 -42.908
0.29387 0.4699 -47.217
0.31827 0.49567 -51.145
0.3434 0.52435 -54.791
0.36899 0.55485 -58.258
0.39635 0.59045 -61.207
0.4247 0.62832 -63.909
0.45445 0.66938 -66.261
0.48664 0.71496 -68.067
0.5202 0.76284 -69.572
0.55691 0.8156 -70.396
0.59511 0.87044 -70.875
0.63655 0.92982 -70.601
0.68018 0.99175 -69.765
0.72673 1.0571 -68.177
0.77614 1.1248 -65.75
0.82797 1.1946 -62.61
0.88349 1.2657 -58.117
0.94096 1.3375 -52.907
0.99921 1.4085 -47.261
1.0617 1.4749 -39.241
1.1241 1.5412 -31.22
1.1874 1.5965 -21.319
1.2512 1.646 -10.431
1.3141 1.6907 0.80572
1.3726 1.7098 13.916
1.4312 1.7289 27.026
1.4829 1.7249 40.728
1.5304 1.7075 54.722
1.566 1.6608 68.407
1.5944 1.6007 81.52
1.6138 1.5238 93.916
1.618 1.4251 104.49
1.6148 1.3179 114.04
1.5968 1.1966 121.34
1.5672 1.0704 126.59
1.5303 0.94143 130.55
1.4771 0.81474 131.29
1.4187 0.69234 130.83
1.3526 0.57615 128.63
1.2798 0.47317 124.55
1.2045 0.37716 119.69
1.1258 0.29679 113.44
1.047 0.22792 106.54
0.96823 0.16735 99.174
0.89234 0.12421 91.242
0.81834 0.086672 83.231
0.74753 0.058159 75.113
0.68228 0.039971 66.998
0.6208 0.027013 58.951
0.56317 0.018975 50.987
0.51199 0.017235 43.221
0.46547 0.01889 35.623
0.42248 0.022945 28.158
0.38549 0.030387 20.937
0.35274 0.039667 13.903
0.32318 0.050259 7.0147
0.29887 0.06265 0.37711
0.27819 0.076108 -6.0717
0.25962 0.090183 -12.411
0.24634 0.10567 -18.451
0.23475 0.12161 -24.388
0.22648 0.13845 -30.12
0.22109 0.15624 -35.654
0.2172 0.17453 -41.085
0.21713 0.19449 -46.219
